label,exact_jaccard,minhash_estimate,absolute_error
same,0.337907,0.310298,0.027609
different,0.343299,0.369919,0.026620
same,0.341338,0.368564,0.027226
different,0.215347,0.228997,0.013651
different,0.300000,0.300813,0.000813
different,0.325373,0.367209,0.041836
different,0.222812,0.247967,0.025156
different,0.252857,0.237127,0.015730
same,0.314425,0.353659,0.039234
same,0.428058,0.415989,0.012068
same,0.637168,0.631436,0.005732
different,0.275676,0.292683,0.017007
different,0.288112,0.307588,0.019476
different,0.243863,0.227642,0.016220
different,0.256259,0.307588,0.051329
same,0.896714,0.925474,0.028761
different,0.272989,0.318428,0.045440
same,0.849224,0.856369,0.007145
different,0.355221,0.390244,0.035023
different,0.281879,0.303523,0.021644
different,0.280423,0.279133,0.001290
same,0.950549,0.959350,0.008800
different,0.308279,0.342818,0.034540
different,0.213303,0.265583,0.052280
same,0.877256,0.860434,0.016823
different,0.357743,0.355014,0.002730
different,0.315726,0.311653,0.004073
different,0.302057,0.333333,0.031277
different,0.314103,0.304878,0.009225
different,0.275930,0.276423,0.000493
different,0.325140,0.363144,0.038004
different,0.296552,0.333333,0.036782
different,0.213355,0.188347,0.025008
different,0.302632,0.350949,0.048317
different,0.329801,0.300813,0.028988
same,0.960825,0.962060,0.001235
different,0.327660,0.245257,0.082402
same,0.897516,0.906504,0.008989
different,0.244284,0.243902,0.000382
different,0.257576,0.239837,0.017738
same,0.820331,0.856369,0.036038
different,0.343413,0.341463,0.001949
different,0.314815,0.303523,0.011292
same,0.454751,0.444444,0.010307
different,0.225543,0.231707,0.006164
same,0.318542,0.302168,0.016374
different,0.285882,0.295393,0.009511
different,0.336766,0.330623,0.006143
different,0.329584,0.318428,0.011156
same,0.990476,0.990515,0.000039
same,0.966867,0.963415,0.003453
different,0.364322,0.371274,0.006952
different,0.254422,0.250678,0.003744
different,0.287483,0.318428,0.030945
different,0.237903,0.208672,0.029231
same,0.881329,0.880759,0.000570
same,0.915832,0.934959,0.019128
same,0.980870,0.975610,0.005260
different,0.221397,0.246612,0.025216
different,0.312500,0.257453,0.055047
same,0.873321,0.882114,0.008793
different,0.243086,0.211382,0.031704
different,0.230479,0.231707,0.001229
different,0.307350,0.327913,0.020564
different,0.281787,0.239837,0.041950
different,0.221818,0.256098,0.034279
same,0.317355,0.284553,0.032803
different,0.302591,0.300813,0.001778
different,0.257256,0.291328,0.034072
same,0.937107,0.932249,0.004858
different,0.317873,0.329268,0.011395
same,0.905482,0.922764,0.017282
different,0.289566,0.289973,0.000407
different,0.301260,0.318428,0.017168
different,0.250789,0.260163,0.009374
different,0.240323,0.250678,0.010355
different,0.271304,0.247967,0.023337
different,0.329305,0.346883,0.017578
different,0.307604,0.318428,0.010824
same,0.988506,0.989160,0.000654
different,0.368201,0.376694,0.008493
same,0.958333,0.939024,0.019309
different,0.219355,0.231707,0.012352
same,0.859023,0.880759,0.021736
different,0.273469,0.237127,0.036342
same,0.877133,0.890244,0.013111
different,0.239490,0.249322,0.009832
different,0.298569,0.319783,0.021215
same,0.398810,0.437669,0.038860
different,0.239193,0.243902,0.004709
same,0.926045,0.925474,0.000571
same,0.787194,0.821138,0.033944
same,0.975000,0.982385,0.007385
different,0.325817,0.329268,0.003451
different,0.382647,0.395664,0.013017
different,0.298343,0.265583,0.032760
different,0.291718,0.228997,0.062721
different,0.334862,0.338753,0.003891
different,0.305590,0.319783,0.014193
different,0.352349,0.361789,0.009440
different,0.225030,0.238482,0.013452
different,0.271390,0.280488,0.009097
different,0.277108,0.287263,0.010154
different,0.279793,0.302168,0.022375
different,0.339557,0.349593,0.010037
different,0.329341,0.246612,0.082729
same,0.912791,0.906504,0.006287
different,0.295742,0.308943,0.013201
same,0.891667,0.876694,0.014973
different,0.310843,0.368564,0.057720
different,0.388027,0.456640,0.068613
different,0.360520,0.382114,0.021594
different,0.313609,0.304878,0.008731
different,0.350168,0.387534,0.037366
different,0.283715,0.338753,0.055038
same,0.813472,0.819783,0.006312
different,0.211196,0.211382,0.000186
same,0.891501,0.909214,0.017713
same,0.986348,0.989160,0.002812
different,0.319378,0.323848,0.004470
different,0.248968,0.230352,0.018616
same,0.398852,0.387534,0.011318
different,0.279769,0.295393,0.015624
different,0.273616,0.256098,0.017518
different,0.254111,0.260163,0.006052
same,0.304147,0.329268,0.025121
same,0.973019,0.982385,0.009366
same,0.901049,0.920054,0.019005
same,0.706065,0.699187,0.006878
different,0.293798,0.313008,0.019211
different,0.265642,0.275068,0.009426
different,0.280098,0.277778,0.002321
same,0.879218,0.920054,0.040836
same,0.735294,0.720867,0.014427
different,0.242707,0.260163,0.017455
different,0.290909,0.269648,0.021261
same,0.922705,0.928184,0.005479
different,0.316375,0.284553,0.031822
different,0.372119,0.371274,0.000845
same,0.949349,0.957995,0.008646
different,0.263666,0.296748,0.033082
different,0.273352,0.279133,0.005781
different,0.315236,0.327913,0.012677
same,0.978078,0.983740,0.005662
different,0.249446,0.253388,0.003942
different,0.247177,0.273713,0.026536
different,0.251263,0.234417,0.016845
different,0.193410,0.219512,0.026102
different,0.300546,0.326558,0.026012
different,0.296534,0.279133,0.017401
different,0.247674,0.247967,0.000293
different,0.274611,0.260163,0.014449
different,0.302552,0.353659,0.051107
different,0.376728,0.376694,0.000034
different,0.286866,0.277778,0.009089
different,0.281170,0.308943,0.027773
different,0.202397,0.238482,0.036086
different,0.332317,0.346883,0.014566
different,0.252788,0.272358,0.019570
different,0.269822,0.277778,0.007955
different,0.277716,0.252033,0.025683
different,0.222527,0.223577,0.001050
same,0.675127,0.684282,0.009155
different,0.352480,0.345528,0.006952
same,0.927007,0.920054,0.006953
different,0.267806,0.285908,0.018102
different,0.240713,0.249322,0.008609
different,0.333333,0.364499,0.031165
different,0.300153,0.284553,0.015600
different,0.243421,0.264228,0.020807
different,0.307775,0.294038,0.013737
same,0.748201,0.741192,0.007009
different,0.231824,0.257453,0.025628
different,0.248705,0.280488,0.031783
different,0.235223,0.226287,0.008936
same,0.901235,0.909214,0.007980
different,0.197733,0.204607,0.006874
same,0.627078,0.689702,0.062624
same,0.878049,0.897019,0.018970
different,0.370986,0.403794,0.032808
different,0.210863,0.224932,0.014070
different,0.295547,0.295393,0.000154
different,0.312746,0.327913,0.015167
different,0.310289,0.327913,0.017624
same,0.912851,0.909214,0.003637
different,0.255814,0.257453,0.001639
different,0.297959,0.325203,0.027244
different,0.252802,0.245257,0.007545
different,0.234536,0.258808,0.024272
different,0.280822,0.296748,0.015926
different,0.223001,0.241192,0.018191
different,0.248207,0.224932,0.023274
different,0.299401,0.308943,0.009542
different,0.167160,0.157182,0.009978
different,0.341067,0.369919,0.028851
same,0.878403,0.895664,0.017261
same,0.888307,0.888889,0.000582
different,0.269821,0.115176,0.154645
different,0.319857,0.313008,0.006849
different,0.261104,0.285908,0.024804
different,0.201515,0.180217,0.021298
different,0.251740,0.268293,0.016553
same,0.905569,0.901084,0.004485
different,0.287313,0.292683,0.005369
different,0.223765,0.256098,0.032332
different,0.379616,0.355014,0.024602
different,0.316748,0.331978,0.015231
different,0.313034,0.355014,0.041979
same,0.885113,0.886179,0.001066
different,0.288762,0.302168,0.013406
same,0.367627,0.371274,0.003647
different,0.320755,0.275068,0.045687
different,0.297739,0.287263,0.010476
same,0.935435,0.936314,0.000879
different,0.381562,0.414634,0.033072
different,0.362733,0.365854,0.003121
different,0.222962,0.231707,0.008746
same,0.893142,0.907859,0.014717
different,0.287072,0.334688,0.047616
different,0.294910,0.317073,0.022163
different,0.217188,0.230352,0.013165
same,0.921162,0.928184,0.007022
different,0.316384,0.323848,0.007464
same,0.972477,0.985095,0.012618
different,0.219020,0.223577,0.004557
different,0.278121,0.298103,0.019982
different,0.285881,0.302168,0.016287
different,0.242336,0.235772,0.006563
same,0.382231,0.368564,0.013668
different,0.296254,0.284553,0.011701
different,0.279337,0.262873,0.016464
different,0.389241,0.376694,0.012547
different,0.204802,0.228997,0.024195
different,0.363636,0.387534,0.023898
different,0.253552,0.277778,0.024226
different,0.257437,0.233062,0.024375
different,0.248071,0.279133,0.031062
different,0.289377,0.273713,0.015665
different,0.265306,0.223577,0.041729
same,0.394231,0.375339,0.018892
same,0.682377,0.692412,0.010035
different,0.262679,0.298103,0.035424
different,0.225266,0.234417,0.009151
same,0.894737,0.909214,0.014477
different,0.251147,0.281843,0.030696
different,0.347966,0.344173,0.003792
different,0.322132,0.342818,0.020686
different,0.227045,0.256098,0.029052
same,1.000000,1.000000,0.000000
different,0.271465,0.283198,0.011733
different,0.297719,0.277778,0.019941
different,0.292560,0.241192,0.051367
same,0.347048,0.349593,0.002545
different,0.278059,0.273713,0.004346
same,0.931208,0.953930,0.022721
same,0.488414,0.470190,0.018224
different,0.367764,0.428184,0.060420
different,0.273750,0.277778,0.004028
different,0.258824,0.224932,0.033891
different,0.304582,0.337398,0.032816
different,0.261848,0.295393,0.033545
different,0.283848,0.288618,0.004770
different,0.313269,0.337398,0.024129
different,0.259001,0.261518,0.002516
different,0.344940,0.181572,0.163368
different,0.237925,0.247967,0.010043
different,0.284038,0.281843,0.002195
different,0.241420,0.238482,0.002938
same,0.913242,0.920054,0.006812
same,0.565401,0.608401,0.043000
different,0.257895,0.279133,0.021238
different,0.193591,0.205962,0.012371
same,0.882090,0.901084,0.018994
same,0.889868,0.899729,0.009861
different,0.288788,0.323848,0.035060
different,0.339690,0.378049,0.038359
same,0.969298,0.972900,0.003601
different,0.242117,0.253388,0.011270
same,0.903084,0.911924,0.008840
different,0.386468,0.406504,0.020036
same,0.967391,0.967480,0.000088
same,0.907914,0.926829,0.018916
same,0.973978,0.978320,0.004342
different,0.267133,0.287263,0.020130
same,0.962441,0.966125,0.003683
different,0.370986,0.376694,0.005708
different,0.303797,0.273713,0.030085
different,0.226629,0.249322,0.022694
different,0.308756,0.318428,0.009672
different,0.325733,0.308943,0.016790
same,0.896082,0.903794,0.007712
same,0.824373,0.811653,0.012720
same,0.773931,0.794038,0.020107
different,0.207268,0.147696,0.059571
different,0.329821,0.315718,0.014103
different,0.264151,0.268293,0.004142
same,0.497951,0.493225,0.004726
different,0.253117,0.254743,0.001625
different,0.299230,0.281843,0.017387
same,0.870968,0.878049,0.007081
different,0.305593,0.325203,0.019610
different,0.254545,0.254743,0.000197
different,0.322818,0.349593,0.026775
different,0.328375,0.281843,0.046532
different,0.275561,0.260163,0.015398
different,0.332176,0.341463,0.009287
same,0.875269,0.902439,0.027170
different,0.281100,0.308943,0.027843
different,0.287671,0.298103,0.010432
same,0.933168,0.952575,0.019406
different,0.254438,0.237127,0.017310
same,0.929688,0.940379,0.010692
same,0.578947,0.563686,0.015262
same,0.704584,0.766938,0.062354
same,0.927786,0.926829,0.000957
same,0.511692,0.494580,0.017112
different,0.368421,0.399729,0.031308
different,0.331307,0.359079,0.027772
different,0.292341,0.241192,0.051148
different,0.339420,0.326558,0.012862
different,0.211974,0.211382,0.000592
different,0.224520,0.246612,0.022093
different,0.275346,0.289973,0.014627
different,0.339644,0.376694,0.037050
different,0.213836,0.138211,0.075625
different,0.364198,0.294038,0.070160
different,0.261417,0.295393,0.033976
different,0.381347,0.398374,0.017027
different,0.254302,0.261518,0.007216
same,0.545198,0.531165,0.014032
same,0.933007,0.936314,0.003308
different,0.319624,0.321138,0.001514
same,0.836689,0.836043,0.000646
different,0.233073,0.262873,0.029800
same,0.933007,0.955285,0.022278
same,0.929260,0.939024,0.009764
different,0.277443,0.304878,0.027435
different,0.281588,0.313008,0.031420
different,0.224000,0.226287,0.002287
different,0.243812,0.283198,0.039386
same,0.972686,0.966125,0.006561
different,0.326558,0.353659,0.027100
same,0.987676,0.989160,0.001484
different,0.330913,0.342818,0.011906
different,0.369738,0.376694,0.006955
same,0.888099,0.883469,0.004631
same,0.936200,0.945799,0.009600
same,0.945302,0.955285,0.009983
different,0.260820,0.296748,0.035928
same,0.924335,0.937669,0.013334
different,0.336634,0.338753,0.002120
same,0.936137,0.952575,0.016437
different,0.232143,0.258808,0.026665
same,0.973094,0.979675,0.006581
same,0.300741,0.310298,0.009557
same,0.870340,0.899729,0.029389
different,0.213729,0.252033,0.038304
same,0.940000,0.963415,0.023415
different,0.251989,0.260163,0.008173
different,0.271255,0.252033,0.019223
same,0.971963,0.983740,0.011777
same,0.971483,0.981030,0.009547
different,0.263844,0.296748,0.032904
different,0.261377,0.258808,0.002569
different,0.285319,0.283198,0.002121
different,0.266361,0.300813,0.034453
same,0.937143,0.939024,0.001882
different,0.374768,0.413279,0.038511
different,0.314839,0.376694,0.061855
same,0.923497,0.921409,0.002088
different,0.261333,0.323848,0.062515
same,0.333893,0.348238,0.014346
different,0.259604,0.276423,0.016819
different,0.250617,0.233062,0.017555
different,0.277778,0.241192,0.036585
same,0.898305,0.887534,0.010771
different,0.239163,0.283198,0.044035
different,0.305239,0.307588,0.002349
different,0.298292,0.322493,0.024202
same,0.949387,0.971545,0.022158
different,0.306587,0.323848,0.017261
different,0.321212,0.344173,0.022961
different,0.313514,0.345528,0.032015
different,0.249326,0.188347,0.060979
different,0.311688,0.311653,0.000035
different,0.314548,0.331978,0.017430
different,0.352683,0.327913,0.024770
different,0.295065,0.272358,0.022708
different,0.251238,0.242547,0.008690
different,0.312500,0.303523,0.008977
different,0.345905,0.383469,0.037564
same,0.848659,0.852304,0.003645
different,0.317439,0.346883,0.029445
different,0.213162,0.226287,0.013126
different,0.263603,0.257453,0.006151
same,0.924908,0.936314,0.011406
different,0.278805,0.326558,0.047753
different,0.339686,0.382114,0.042428
different,0.288978,0.252033,0.036946
same,0.951185,0.967480,0.016294
different,0.307097,0.357724,0.050627
different,0.283230,0.279133,0.004097
different,0.200726,0.205962,0.005237
different,0.326113,0.294038,0.032075
different,0.321615,0.365854,0.044239
different,0.321250,0.331978,0.010728
different,0.262436,0.266938,0.004502
different,0.318056,0.357724,0.039668
different,0.286070,0.273713,0.012357
same,0.989270,0.990515,0.001245
same,0.952782,0.960705,0.007922
different,0.325773,0.356369,0.030595
different,0.300390,0.273713,0.026677
different,0.247874,0.257453,0.009579
