stage,portal_id,notices,candidate_assignments,avg_candidates,max_candidates
before,P094,1426,28505,19.99,349
before,P006,792,16188,20.44,360
before,P003,772,15757,20.41,390
before,P004,755,14941,19.79,327
before,P001,778,14880,19.13,347
before,P002,800,14488,18.11,334
before,P005,768,13846,18.03,301
before,P240,377,8364,22.19,335
before,P020,384,6826,17.78,298
before,P088,97,3971,40.94,361
before,P044,224,3807,17.00,291
before,P215,153,3771,24.65,316
before,P227,107,2771,25.90,331
before,P181,133,2512,18.89,283
before,P167,48,2384,49.67,289
before,P189,90,2194,24.38,331
before,P136,91,1830,20.11,281
before,P146,79,1720,21.77,329
before,P232,79,1565,19.81,273
before,P235,53,1545,29.15,317
before,P200,79,1500,18.99,271
before,P096,55,1469,26.71,277
before,P141,46,1372,29.83,296
before,P073,69,1349,19.55,330
before,P031,31,1295,41.77,284
before,P241,48,1294,26.96,276
before,P217,32,1243,38.84,349
before,P081,27,1189,44.04,277
before,P056,27,1106,40.96,299
before,P137,24,1098,45.75,346
before,P091,36,1076,29.89,277
before,P069,39,1073,27.51,279
before,P242,22,1029,46.77,289
before,P216,45,1026,22.80,293
before,P214,35,1011,28.89,314
before,P175,26,1006,38.69,279
before,P207,40,996,24.90,280
before,P028,37,981,26.51,296
before,P097,38,976,25.68,272
before,P143,21,973,46.33,279
before,P183,43,967,22.49,274
before,P042,31,952,30.71,288
before,P041,41,950,23.17,280
before,P166,25,915,36.60,283
before,P228,53,915,17.26,351
before,P180,37,898,24.27,327
before,P225,36,889,24.69,296
before,P152,16,870,54.38,316
before,P089,32,807,25.22,308
before,P129,35,807,23.06,303
before,P014,36,785,21.81,276
before,P229,45,770,17.11,278
before,P061,35,741,21.17,337
before,P239,23,716,31.13,283
before,P017,15,677,45.13,275
before,P026,30,658,21.93,290
before,P255,45,654,14.53,118
before,P238,45,647,14.38,181
before,P072,11,633,57.55,286
before,P021,35,627,17.91,77
before,P195,32,621,19.41,276
before,P231,19,582,30.63,342
before,P179,16,579,36.19,300
before,P071,33,576,17.45,129
before,P178,5,575,115.00,281
before,P184,26,559,21.50,274
before,P099,16,549,34.31,273
before,P052,12,525,43.75,275
before,P203,19,518,27.26,116
before,P065,21,515,24.52,277
before,P060,22,515,23.41,288
before,P101,8,512,64.00,271
before,P199,23,509,22.13,175
before,P120,54,506,9.37,130
before,P077,20,500,25.00,273
before,P147,19,494,26.00,276
before,P019,7,477,68.14,294
before,P172,26,476,18.31,104
before,P122,44,474,10.77,115
before,P049,19,467,24.58,272
before,P211,30,463,15.43,117
before,P106,37,449,12.14,69
before,P182,12,448,37.33,307
before,P168,18,437,24.28,115
before,P036,14,420,30.00,277
before,P191,21,412,19.62,74
before,P075,13,408,31.38,274
before,P057,33,406,12.30,57
before,P018,10,406,40.60,277
before,P027,18,404,22.44,93
before,P059,17,402,23.65,116
before,P062,11,375,34.09,142
before,P204,8,366,45.75,280
before,P133,14,364,26.00,151
before,P156,10,360,36.00,277
before,P013,110,352,3.20,32
before,P095,8,347,43.38,308
before,P085,5,347,69.40,314
before,P144,9,345,38.33,280
before,P188,6,330,55.00,299
before,P087,22,328,14.91,54
before,P213,19,315,16.58,115
before,P259,9,310,34.44,272
before,P253,13,307,23.62,86
before,P221,83,306,3.69,18
before,P249,11,305,27.73,140
before,P246,34,304,8.94,56
before,P055,4,302,75.50,275
before,P033,6,301,50.17,272
before,P257,22,300,13.64,94
before,P098,32,294,9.19,127
before,P053,26,290,11.15,42
before,P236,16,289,18.06,83
before,P009,4,286,71.50,272
before,P074,3,285,95.00,273
before,P063,18,272,15.11,115
before,P112,23,272,11.83,38
before,P219,20,266,13.30,71
before,P185,11,264,24.00,117
before,P116,23,261,11.35,114
before,P058,19,261,13.74,54
before,P210,8,259,32.38,181
before,P134,9,253,28.11,68
before,P076,6,252,42.00,110
before,P194,15,240,16.00,71
before,P177,9,230,25.56,116
before,P086,12,227,18.92,50
before,P105,20,225,11.25,58
before,P237,6,221,36.83,134
before,P222,18,217,12.06,75
before,P068,10,214,21.40,121
before,P248,14,213,15.21,86
before,P202,30,208,6.93,29
before,P208,13,193,14.85,68
before,P163,14,192,13.71,52
before,P196,14,191,13.64,61
before,P223,12,185,15.42,42
before,P064,20,183,9.15,26
before,P243,7,177,25.29,79
before,P040,12,174,14.50,43
before,P047,15,170,11.33,64
before,P038,16,168,10.50,26
before,P010,7,165,23.57,61
before,P121,7,164,23.43,114
before,P103,9,164,18.22,68
before,P260,13,162,12.46,31
before,P148,11,159,14.45,84
before,P190,11,158,14.36,97
before,P250,18,156,8.67,51
before,P048,15,151,10.07,41
before,P127,15,151,10.07,74
before,P226,5,150,30.00,144
before,P039,14,148,10.57,43
before,P170,13,147,11.31,60
before,P104,12,146,12.17,69
before,P078,11,145,13.18,56
before,P159,10,142,14.20,76
before,P130,5,140,28.00,71
before,P054,13,139,10.69,35
before,P124,11,136,12.36,85
before,P111,14,136,9.71,63
before,P165,10,130,13.00,72
before,P083,6,129,21.50,82
before,P131,21,126,6.00,32
before,P045,9,126,14.00,55
before,P050,10,124,12.40,51
before,P193,10,117,11.70,39
before,P100,10,115,11.50,30
before,P051,7,113,16.14,48
before,P234,11,106,9.64,31
before,P135,6,103,17.17,59
before,P067,8,102,12.75,64
before,P198,7,98,14.00,31
before,P224,7,98,14.00,36
before,P128,4,98,24.50,53
before,P046,34,98,2.88,14
before,P139,9,95,10.56,42
before,P024,12,93,7.75,20
before,P043,7,92,13.14,44
before,P118,2,89,44.50,50
before,P102,6,89,14.83,27
before,P258,10,88,8.80,26
before,P029,8,88,11.00,45
before,P192,12,85,7.08,19
before,P176,5,82,16.40,51
before,P157,6,81,13.50,48
before,P079,6,79,13.17,37
before,P030,5,78,15.60,37
before,P158,7,75,10.71,27
before,P155,4,75,18.75,72
before,P230,6,75,12.50,25
before,P162,7,74,10.57,31
before,P023,7,73,10.43,40
before,P218,7,72,10.29,22
before,P080,6,72,12.00,24
before,P093,7,71,10.14,20
before,P007,11,71,6.45,25
before,P035,11,71,6.45,13
before,P197,10,70,7.00,13
before,P206,4,70,17.50,39
before,P160,11,69,6.27,20
before,P138,8,65,8.13,24
before,P108,9,65,7.22,16
before,P016,13,63,4.85,12
before,P034,10,59,5.90,16
before,P142,22,58,2.64,10
before,P244,22,58,2.64,11
before,P037,13,57,4.38,12
before,P115,8,56,7.00,19
before,P174,6,55,9.17,17
before,P154,5,54,10.80,24
before,P011,11,53,4.82,12
before,P140,14,53,3.79,13
before,P150,7,53,7.57,16
before,P109,8,52,6.50,20
before,P173,6,51,8.50,16
before,P161,5,50,10.00,32
before,P169,6,49,8.17,17
before,P151,14,49,3.50,19
before,P113,7,49,7.00,25
before,P164,4,47,11.75,25
before,P012,7,45,6.43,23
before,P209,19,42,2.21,7
before,P084,14,42,3.00,10
before,P090,9,42,4.67,8
before,P032,6,42,7.00,14
before,P114,11,41,3.73,12
before,P205,6,39,6.50,14
before,P247,6,38,6.33,25
before,P153,13,38,2.92,8
before,P125,4,38,9.50,19
before,P212,2,38,19.00,33
before,P145,7,36,5.14,19
before,P251,4,35,8.75,16
before,P132,4,35,8.75,15
before,P220,5,31,6.20,25
before,P186,5,28,5.60,16
before,P245,7,27,3.86,12
before,P187,5,26,5.20,15
before,P149,2,26,13.00,21
before,P107,10,26,2.60,7
before,P117,12,24,2.00,11
before,P252,5,24,4.80,6
before,P171,2,23,11.50,18
before,P025,8,22,2.75,6
before,P110,2,22,11.00,15
before,P256,3,21,7.00,10
before,P015,8,19,2.38,6
before,P070,6,18,3.00,9
before,P008,10,18,1.80,4
before,P092,4,16,4.00,7
before,P254,9,16,1.78,6
before,P082,2,15,7.50,8
before,P201,4,15,3.75,8
before,P233,7,13,1.86,4
before,P066,6,12,2.00,6
before,P119,2,11,5.50,8
before,P126,3,8,2.67,8
before,P022,4,8,2.00,3
before,P123,4,8,2.00,4
after,P094,1426,17884,12.54,160
after,P006,792,10698,13.51,129
after,P003,772,10589,13.72,126
after,P001,778,10508,13.51,130
